學年,大學,修課程度,就業情況,職業,畢業生人數
2009/10,香港城市大學,副學位課程,全職就業,會計師及核數師,1
2009/10,香港城市大學,副學位課程,全職就業,經濟學家、統計學家和數學家,1
2009/10,香港城市大學,副學位課程,全職就業,藝術家,1
2009/10,香港城市大學,副學位課程,其他,非全職就業,1
2009/10,香港城市大學,副學位課程,就業不足,非全職就業,12
2009/10,香港城市大學,學士學位課程,升學,非全職就業,189
2009/10,香港城市大學,學士學位課程,失業,非全職就業,24
2009/10,香港城市大學,學士學位課程,全職就業,工程技術人員,40
2009/10,香港城市大學,學士學位課程,全職就業,工程師,130
2009/10,香港城市大學,學士學位課程,全職就業,文書及相關人員,82
2009/10,香港城市大學,學士學位課程,全職就業,未有提供資料,30
2009/10,香港城市大學,學士學位課程,全職就業,生產及有關工人,5
2009/10,香港城市大學,學士學位課程,全職就業,作家、新聞記者及相關作家,69
2009/10,香港城市大學,學士學位課程,全職就業,系統分析員和電腦程序員,186
2009/10,香港城市大學,學士學位課程,全職就業,其他服務工作人員,20
2009/10,香港城市大學,學士學位課程,全職就業,其他專業人員和技術工人,79
2009/10,香港城市大學,學士學位課程,全職就業,法律工作者,7
2009/10,香港城市大學,學士學位課程,全職就業,物理和生命科學技術員,16
2009/10,香港城市大學,學士學位課程,全職就業,物理和生命科學家,2
2009/10,香港城市大學,學士學位課程,全職就業,保險、房地產及商業服務,37
2009/10,香港城市大學,學士學位課程,全職就業,保護服務工作者,11
2009/10,香港城市大學,學士學位課程,全職就業,建築師和測量師,40
2009/10,香港城市大學,學士學位課程,全職就業,政府官員（一般職系）,3
2009/10,香港城市大學,學士學位課程,全職就業,飛機和船舶人員,3
2009/10,香港城市大學,學士學位課程,全職就業,商務專業人員,693
2009/10,香港城市大學,學士學位課程,全職就業,會計師及核數師,152
2009/10,香港城市大學,學士學位課程,全職就業,經理,39
2009/10,香港城市大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,30
2009/10,香港城市大學,學士學位課程,全職就業,農業和漁業工人,2
2009/10,香港城市大學,學士學位課程,全職就業,銷售／服務人員,59
2009/10,香港城市大學,學士學位課程,全職就業,醫療和衞生工作者,3
2009/10,香港城市大學,學士學位課程,全職就業,藝術家,38
2009/10,香港城市大學,學士學位課程,全職就業,敎學專業,147
2009/10,香港城市大學,學士學位課程,其他,非全職就業,22
2009/10,香港城市大學,學士學位課程,就業不足,非全職就業,70
2009/10,香港城市大學,硏究院修課課程,升學,非全職就業,2
2009/10,香港城市大學,硏究院修課課程,全職就業,法律工作者,26
2009/10,香港城市大學,硏究院修課課程,其他,非全職就業,1
2009/10,香港城市大學,硏究院修課課程,就業不足,非全職就業,1
2009/10,香港城市大學,硏究院硏究課程,升學,非全職就業,18
2009/10,香港城市大學,硏究院硏究課程,失業,非全職就業,1
2009/10,香港城市大學,硏究院硏究課程,全職就業,工程技術人員,1
2009/10,香港城市大學,硏究院硏究課程,全職就業,工程師,3
2009/10,香港城市大學,硏究院硏究課程,全職就業,未有提供資料,2
2009/10,香港城市大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,1
2009/10,香港城市大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,1
2009/10,香港城市大學,硏究院硏究課程,全職就業,物理和生命科學技術員,3
2009/10,香港城市大學,硏究院硏究課程,全職就業,商務專業人員,2
2009/10,香港城市大學,硏究院硏究課程,全職就業,經理,1
2009/10,香港城市大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,2
2009/10,香港城市大學,硏究院硏究課程,全職就業,敎學專業,15
2009/10,香港城市大學,硏究院硏究課程,其他,非全職就業,8
2009/10,香港城市大學,硏究院硏究課程,就業不足,非全職就業,5
2009/10,香港科技大學,學士學位課程,升學,非全職就業,133
2009/10,香港科技大學,學士學位課程,失業,非全職就業,28
2009/10,香港科技大學,學士學位課程,全職就業,工程技術人員,28
2009/10,香港科技大學,學士學位課程,全職就業,工程師,260
2009/10,香港科技大學,學士學位課程,全職就業,文書及相關人員,28
2009/10,香港科技大學,學士學位課程,全職就業,未有提供資料,16
2009/10,香港科技大學,學士學位課程,全職就業,生產及有關工人,6
2009/10,香港科技大學,學士學位課程,全職就業,作家、新聞記者及相關作家,10
2009/10,香港科技大學,學士學位課程,全職就業,系統分析員和電腦程序員,148
2009/10,香港科技大學,學士學位課程,全職就業,其他服務工作人員,8
2009/10,香港科技大學,學士學位課程,全職就業,其他專業人員和技術工人,10
2009/10,香港科技大學,學士學位課程,全職就業,法律工作者,1
2009/10,香港科技大學,學士學位課程,全職就業,物理和生命科學技術員,33
2009/10,香港科技大學,學士學位課程,全職就業,物理和生命科學家,9
2009/10,香港科技大學,學士學位課程,全職就業,保險、房地產及商業服務,25
2009/10,香港科技大學,學士學位課程,全職就業,保護服務工作者,4
2009/10,香港科技大學,學士學位課程,全職就業,建築師和測量師,4
2009/10,香港科技大學,學士學位課程,全職就業,政府官員（一般職系）,7
2009/10,香港科技大學,學士學位課程,全職就業,政府官員和外交官,1
2009/10,香港科技大學,學士學位課程,全職就業,飛機和船舶人員,4
2009/10,香港科技大學,學士學位課程,全職就業,商務專業人員,377
2009/10,香港科技大學,學士學位課程,全職就業,會計師及核數師,164
2009/10,香港科技大學,學士學位課程,全職就業,經理,22
2009/10,香港科技大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,11
2009/10,香港科技大學,學士學位課程,全職就業,農業和漁業工人,1
2009/10,香港科技大學,學士學位課程,全職就業,銷售／服務人員,29
2009/10,香港科技大學,學士學位課程,全職就業,醫療和衞生工作者,8
2009/10,香港科技大學,學士學位課程,全職就業,敎學專業,79
2009/10,香港科技大學,學士學位課程,其他,非全職就業,15
2009/10,香港科技大學,學士學位課程,就業不足,非全職就業,49
2009/10,香港科技大學,硏究院硏究課程,升學,非全職就業,36
2009/10,香港科技大學,硏究院硏究課程,失業,非全職就業,10
2009/10,香港科技大學,硏究院硏究課程,全職就業,工程技術人員,2
2009/10,香港科技大學,硏究院硏究課程,全職就業,工程師,27
2009/10,香港科技大學,硏究院硏究課程,全職就業,未有提供資料,25
2009/10,香港科技大學,硏究院硏究課程,全職就業,系統分析員和電腦程序員,13
2009/10,香港科技大學,硏究院硏究課程,全職就業,其他專業人員和技術工人,1
2009/10,香港科技大學,硏究院硏究課程,全職就業,法律工作者,1
2009/10,香港科技大學,硏究院硏究課程,全職就業,物理和生命科學技術員,1
2009/10,香港科技大學,硏究院硏究課程,全職就業,物理和生命科學家,3
2009/10,香港科技大學,硏究院硏究課程,全職就業,商務專業人員,11
2009/10,香港科技大學,硏究院硏究課程,全職就業,會計師及核數師,1
2009/10,香港科技大學,硏究院硏究課程,全職就業,經理,4
2009/10,香港科技大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,1
2009/10,香港科技大學,硏究院硏究課程,全職就業,敎學專業,75
2009/10,香港科技大學,硏究院硏究課程,其他,非全職就業,29
2009/10,香港科技大學,硏究院硏究課程,就業不足,非全職就業,5
2009/10,香港浸會大學,學士學位課程,升學,非全職就業,204
2009/10,香港浸會大學,學士學位課程,失業,非全職就業,16
2009/10,香港浸會大學,學士學位課程,全職就業,工程技術人員,3
2009/10,香港浸會大學,學士學位課程,全職就業,工程師,6
2009/10,香港浸會大學,學士學位課程,全職就業,不在上述分類,9
2009/10,香港浸會大學,學士學位課程,全職就業,文書及相關人員,39
2009/10,香港浸會大學,學士學位課程,全職就業,未有提供資料,34
2009/10,香港浸會大學,學士學位課程,全職就業,生產及有關工人,2
2009/10,香港浸會大學,學士學位課程,全職就業,作家、新聞記者及相關作家,106
2009/10,香港浸會大學,學士學位課程,全職就業,系統分析員和電腦程序員,49
2009/10,香港浸會大學,學士學位課程,全職就業,其他服務工作人員,15
2009/10,香港浸會大學,學士學位課程,全職就業,其他專業人員和技術工人,85
2009/10,香港浸會大學,學士學位課程,全職就業,宗教工作者,1
2009/10,香港浸會大學,學士學位課程,全職就業,法律工作者,1
2009/10,香港浸會大學,學士學位課程,全職就業,物理和生命科學技術員,20
2009/10,香港浸會大學,學士學位課程,全職就業,物理和生命科學家,3
2009/10,香港浸會大學,學士學位課程,全職就業,保險、房地產及商業服務,7
2009/10,香港浸會大學,學士學位課程,全職就業,保護服務工作者,15
2009/10,香港浸會大學,學士學位課程,全職就業,建築師和測量師,2
2009/10,香港浸會大學,學士學位課程,全職就業,政府官員（一般職系）,1
2009/10,香港浸會大學,學士學位課程,全職就業,政府官員和外交官,2
2009/10,香港浸會大學,學士學位課程,全職就業,商務專業人員,374
2009/10,香港浸會大學,學士學位課程,全職就業,會計師及核數師,68
2009/10,香港浸會大學,學士學位課程,全職就業,經理,13
2009/10,香港浸會大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,13
2009/10,香港浸會大學,學士學位課程,全職就業,資料不全以致未能分類,20
2009/10,香港浸會大學,學士學位課程,全職就業,農業和漁業工人,1
2009/10,香港浸會大學,學士學位課程,全職就業,銷售／服務人員,39
2009/10,香港浸會大學,學士學位課程,全職就業,醫療和衞生工作者,37
2009/10,香港浸會大學,學士學位課程,全職就業,藝術家,43
2009/10,香港浸會大學,學士學位課程,全職就業,敎學專業,159
2009/10,香港浸會大學,學士學位課程,其他,非全職就業,33
2009/10,香港浸會大學,學士學位課程,就業不足,非全職就業,61
2009/10,香港浸會大學,硏究院修課課程,全職就業,其他專業人員和技術工人,1
2009/10,香港浸會大學,硏究院修課課程,全職就業,商務專業人員,1
2009/10,香港浸會大學,硏究院修課課程,全職就業,敎學專業,20
2009/10,香港浸會大學,硏究院修課課程,其他,非全職就業,1
2009/10,香港浸會大學,硏究院修課課程,就業不足,非全職就業,2
2009/10,香港浸會大學,硏究院硏究課程,升學,非全職就業,11
2009/10,香港浸會大學,硏究院硏究課程,失業,非全職就業,1
2009/10,香港浸會大學,硏究院硏究課程,全職就業,工程技術人員,1
2009/10,香港浸會大學,硏究院硏究課程,全職就業,未有提供資料,1
2009/10,香港浸會大學,硏究院硏究課程,全職就業,其他專業人員和技術工人,1
2009/10,香港浸會大學,硏究院硏究課程,全職就業,物理和生命科學技術員,7
2009/10,香港浸會大學,硏究院硏究課程,全職就業,商務專業人員,4
2009/10,香港浸會大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,1
2009/10,香港浸會大學,硏究院硏究課程,全職就業,資料不全以致未能分類,1
2009/10,香港浸會大學,硏究院硏究課程,全職就業,醫療和衞生工作者,2
2009/10,香港浸會大學,硏究院硏究課程,全職就業,敎學專業,10
2009/10,香港浸會大學,硏究院硏究課程,其他,非全職就業,10
2009/10,香港浸會大學,硏究院硏究課程,就業不足,非全職就業,1
2009/10,香港理工大學,副學位課程,升學,非全職就業,616
2009/10,香港理工大學,副學位課程,失業,非全職就業,19
2009/10,香港理工大學,副學位課程,全職就業,工程技術人員,9
2009/10,香港理工大學,副學位課程,全職就業,工程師,28
2009/10,香港理工大學,副學位課程,全職就業,文書及相關人員,6
2009/10,香港理工大學,副學位課程,全職就業,作家、新聞記者及相關作家,3
2009/10,香港理工大學,副學位課程,全職就業,系統分析員和電腦程序員,3
2009/10,香港理工大學,副學位課程,全職就業,其他服務工作人員,11
2009/10,香港理工大學,副學位課程,全職就業,其他專業人員和技術工人,23
2009/10,香港理工大學,副學位課程,全職就業,物理和生命科學技術員,9
2009/10,香港理工大學,副學位課程,全職就業,保險、房地產及商業服務,4
2009/10,香港理工大學,副學位課程,全職就業,保護服務工作者,2
2009/10,香港理工大學,副學位課程,全職就業,建築師和測量師,26
2009/10,香港理工大學,副學位課程,全職就業,商務專業人員,77
2009/10,香港理工大學,副學位課程,全職就業,會計師及核數師,1
2009/10,香港理工大學,副學位課程,全職就業,銷售／服務人員,11
2009/10,香港理工大學,副學位課程,全職就業,醫療和衞生工作者,87
2009/10,香港理工大學,副學位課程,全職就業,藝術家,33
2009/10,香港理工大學,副學位課程,全職就業,敎學專業,3
2009/10,香港理工大學,副學位課程,其他,非全職就業,8
2009/10,香港理工大學,副學位課程,就業不足,非全職就業,23
2009/10,香港理工大學,學士學位課程,升學,非全職就業,175
2009/10,香港理工大學,學士學位課程,失業,非全職就業,87
2009/10,香港理工大學,學士學位課程,全職就業,工程技術人員,38
2009/10,香港理工大學,學士學位課程,全職就業,工程師,299
2009/10,香港理工大學,學士學位課程,全職就業,文書及相關人員,14
2009/10,香港理工大學,學士學位課程,全職就業,作家、新聞記者及相關作家,27
2009/10,香港理工大學,學士學位課程,全職就業,系統分析員和電腦程序員,139
2009/10,香港理工大學,學士學位課程,全職就業,其他服務工作人員,60
2009/10,香港理工大學,學士學位課程,全職就業,其他專業人員和技術工人,86
2009/10,香港理工大學,學士學位課程,全職就業,宗教工作者,1
2009/10,香港理工大學,學士學位課程,全職就業,物理和生命科學技術員,37
2009/10,香港理工大學,學士學位課程,全職就業,物理和生命科學家,4
2009/10,香港理工大學,學士學位課程,全職就業,保險、房地產及商業服務,79
2009/10,香港理工大學,學士學位課程,全職就業,保護服務工作者,6
2009/10,香港理工大學,學士學位課程,全職就業,建築師和測量師,83
2009/10,香港理工大學,學士學位課程,全職就業,政府官員（一般職系）,5
2009/10,香港理工大學,學士學位課程,全職就業,商務專業人員,619
2009/10,香港理工大學,學士學位課程,全職就業,會計師及核數師,195
2009/10,香港理工大學,學士學位課程,全職就業,經理,1
2009/10,香港理工大學,學士學位課程,全職就業,經濟學家、統計學家和數學家,63
2009/10,香港理工大學,學士學位課程,全職就業,銷售／服務人員,47
2009/10,香港理工大學,學士學位課程,全職就業,醫療和衞生工作者,311
2009/10,香港理工大學,學士學位課程,全職就業,藝術家,137
2009/10,香港理工大學,學士學位課程,全職就業,敎學專業,47
2009/10,香港理工大學,學士學位課程,其他,非全職就業,118
2009/10,香港理工大學,學士學位課程,就業不足,非全職就業,69
2009/10,香港理工大學,硏究院硏究課程,升學,非全職就業,7
2009/10,香港理工大學,硏究院硏究課程,失業,非全職就業,2
2009/10,香港理工大學,硏究院硏究課程,全職就業,工程師,7
2009/10,香港理工大學,硏究院硏究課程,全職就業,作家、新聞記者及相關作家,1
2009/10,香港理工大學,硏究院硏究課程,全職就業,物理和生命科學技術員,2
2009/10,香港理工大學,硏究院硏究課程,全職就業,商務專業人員,4
2009/10,香港理工大學,硏究院硏究課程,全職就業,經理,1
2009/10,香港理工大學,硏究院硏究課程,全職就業,經濟學家、統計學家和數學家,20
2009/10,香港理工大學,硏究院硏究課程,全職就業,醫療和衞生工作者,2
2009/10,香港理工大學,硏究院硏究課程,全職就業,敎學專業,11
2009/10,香港理工大學,硏究院硏究課程,其他,非全職就業,39
2009/10,香港敎育大學,副學位課程,全職就業,文書及相關人員,1
2009/10,香港敎育大學,副學位課程,全職就業,資料不全以致未能分類,1
2009/10,香港敎育大學,副學位課程,全職就業,敎學專業,68
2009/10,香港敎育大學,副學位課程,其他,非全職就業,1
2009/10,香港敎育大學,副學位課程,就業不足,非全職就業,5
2009/10,香港敎育大學,學士學位課程,升學,非全職就業,26
2009/10,香港敎育大學,學士學位課程,全職就業,不在上述分類,1
2009/10,香港敎育大學,學士學位課程,全職就業,文書及相關人員,5
2009/10,香港敎育大學,學士學位課程,全職就業,未有提供資料,3
2009/10,香港敎育大學,學士學位課程,全職就業,作家、新聞記者及相關作家,2
2009/10,香港敎育大學,學士學位課程,全職就業,其他專業人員和技術工人,9
2009/10,香港敎育大學,學士學位課程,全職就業,保護服務工作者,1
2009/10,香港敎育大學,學士學位課程,全職就業,政府官員（一般職系）,1
2009/10,香港敎育大學,學士學位課程,全職就業,商務專業人員,5
2009/10,香港敎育大學,學士學位課程,全職就業,資料不全以致未能分類,3
2009/10,香港敎育大學,學士學位課程,全職就業,銷售／服務人員,5
2009/10,香港敎育大學,學士學位課程,全職就業,藝術家,1
2009/10,香港敎育大學,學士學位課程,全職就業,敎學專業,373
2009/10,香港敎育大學,學士學位課程,其他,非全職就業,5
2009/10,香港敎育大學,學士學位課程,就業不足,非全職就業,14
2009/10,香港敎育大學,硏究院修課課程,升學,非全職就業,2
2009/10,香港敎育大學,硏究院修課課程,全職就業,文書及相關人員,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,未有提供資料,3
2009/10,香港敎育大學,硏究院修課課程,全職就業,作家、新聞記者及相關作家,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,其他服務工作人員,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,其他專業人員和技術工人,4
2009/10,香港敎育大學,硏究院修課課程,全職就業,保護服務工作者,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,商務專業人員,5
2009/10,香港敎育大學,硏究院修課課程,全職就業,會計師及核數師,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,資料不全以致未能分類,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,銷售／服務人員,1
2009/10,香港敎育大學,硏究院修課課程,全職就業,敎學專業,182
2009/10,香港敎育大學,硏究院修課課程,其他,非全職就業,3
2009/10,香港敎育大學,硏究院修課課程,就業不足,非全職就業,10
2009/10,嶺南大學,學士學位課程,升學,非全職就業,87
2009/10,嶺南大學,學士學位課程,失業,非全職就業,5
2009/10,嶺南大學,學士學位課程,全職就業,工程技術人員,1
2009/10,嶺南大學,學士學位課程,全職就業,文書及相關人員,22
2009/10,嶺南大學,學士學位課程,全職就業,作家、新聞記者及相關作家,28
2009/10,嶺南大學,學士學位課程,全職就業,其他服務工作人員,9
2009/10,嶺南大學,學士學位課程,全職就業,其他專業人員和技術工人,7
2009/10,嶺南大學,學士學位課程,全職就業,保險、房地產及商業服務,14
2009/10,嶺南大學,學士學位課程,全職就業,保護服務工作者,8
2009/10,嶺南大學,學士學位課程,全職就業,政府官員（一般職系）,2
2009/10,嶺南大學,學士學位課程,全職就業,商務專業人員,335
2009/10,嶺南大學,學士學位課程,全職就業,會計師及核數師,63
2009/10,嶺南大學,學士學位課程,全職就業,經理,19
2009/10,嶺南大學,學士學位課程,全職就業,銷售／服務人員,13
